headline,body,time_published,Text,category
China's Mars probe Tianwen 1 enters preset parking orbit,"China's mars probe Tianwen 1 has entered the preset parking orbit above the red planet on Wednesday, in a bid to successfully land later in May.",242021.0,china mar probe tianwen enters preset parking orbit china mar probe tianwen entered preset parking orbit red planet wednesday bid successfully land later may.,Science and Tech
Mars rover's giant parachute carried secret message,"The huge parachute used by NASA's Perseverance rover to land on Mars contained a secret message, thanks to a puzzle lover on the spacecraft team.",242021.0,mar rover giant parachute carried secret message huge parachute used nasa perseverance rover land mar contained secret message thanks puzzle lover spacecraft team.,Science and Tech
Top board leaders resign after deadly Texas power outages,"Top board leaders of Texas’ embattled power grid operator said Tuesday they will resign following outrage over more than 4 million customers losing electricity last week during a deadly winter storm, including many whose frigid homes lacked heat for days in subfreezing temperatures.",242021.0,top board leader resign deadly texas power outage top board leader texas embattled power grid operator said tuesday resign following outrage million customer losing electricity last week deadly winter storm including many whose frigid home lacked heat day subfreezing temperatures.,Science and Tech
Facebook 'refriends' Australia after changes to media laws,Facebook said on Tuesday it will restore Australian news pages after negotiating changes with the government to a proposed law that forces tech giants to pay for media content displayed on their platforms.,232021.0,facebook refriends australia change medium law facebook said tuesday restore australian news page negotiating change government proposed law force tech giant pay medium content displayed platforms.,Science and Tech
NASA releases footage of Perseverance landing on Mars,The US space agency NASA has released a video of  Perseverance rover landing on Mars.,232021.0,nasa release footage perseverance landing mar u space agency nasa released video perseverance rover landing mars.,Science and Tech
Hubble Space Telescope finds concentration of small black holes in old globular cluster,A peculiar discovery astonished scientists when they found an evidence of swarm of black holes lurking at the heart of the globular cluster NGC 6397.,222021.0,hubble space telescope find concentration small black hole old globular cluster peculiar discovery astonished scientist found evidence swarm black hole lurking heart globular cluster ngc .,Science and Tech
Three-month interval between two doses of AstraZeneca Covid-19 vaccine more effective: study,A new study published in the Lancet journal suggests that a three-month gap between two doses of AstraZeneca Covid-19 vaccine might be more effective than a shorter gap.,222021.0,three month interval two dos astrazeneca covid vaccine effective study new study published lancet journal suggests three month gap two dos astrazeneca covid vaccine might effective shorter gap.,Science and Tech
"NASA's Jet Propulsion Laboratory shares high resolution image of Mars, Ingenuity reports good health","NASA's Perseverance rover landed flawlessly on Martian land on Thursday, sending back first look of the Red planet from rover's view. On Friday, NASA's Jet Propulsion Laboratory issued high resolution images of the rover's descent and the Martian land.",202021.0,nasa jet propulsion laboratory share high resolution image mar ingenuity report good health nasa perseverance rover landed flawlessly martian land thursday sending back first look red planet rover view. friday nasa jet propulsion laboratory issued high resolution image rover descent martian land.,Science and Tech
New look at first black hole detected shows it is bigger than expected,A fresh examination has revealed new details about the first black hole ever detected - which was spotted in 1964 and became the subject of a friendly wager between renowned scientists - including that it is bigger than previously known.,202021.0,new look first black hole detected show bigger expected fresh examination revealed new detail first black hole ever detected spotted became subject friendly wager renowned scientist including bigger previously known.,Science and Tech
"Joint use of mass testing and contact tracing can effectively suppress the spread of the coronavirus, suggests study",Scientists from the Institute of Smart Systems and Artificial Intelligence (ISSAI) at Nazarbayev University have revealed that the joint use of mass testing and contact tracing of the infected people using a special mobile application can effectively suppress the spread of the coronavirus -                     m,192021.0,joint use mass testing contact tracing effectively suppress spread coronavirus suggests study scientist institute smart system artificial intelligence issai nazarbayev university revealed joint use mass testing contact tracing infected people using special mobile application effectively suppress spread coronavirus,Science and Tech
