headline,body,time_published,Text,category
Meghan says British royals worried about her son's dark skin,"Meghan, the wife of Prince Harry, said there were concerns about how dark her son Archie’s skin would be before his birth and that such worries explained why he was not given the title of prince.",82021.0,meghan say british royal worried son dark skin meghan wife prince harry said concern dark son archie skin would birth worry explained given title prince.,Entertainment
"Harry, Meghan to delve into tough royal split with Oprah","Sunday night’s airing of a two-hour special hosted by Oprah Winfrey will provide the first, and unprecedented, peek into the couple’s departure from royal duties and the strains it has placed on them.",72021.0,harry meghan delve tough royal split oprah sunday night airing two hour special hosted oprah winfrey provide first unprecedented peek couple departure royal duty strain placed them.,Entertainment
Meghan: talk with Oprah without royals' input 'liberating',"Meghan, the Duchess of Sussex has described to Oprah Winfrey how “liberating” it was to have a conversation - let alone a sit-down interview - with the television host without royal minders.",62021.0,meghan talk oprah without royal input liberating meghan duchess sussex described oprah winfrey liberating conversation let alone sit interview television host without royal minders.,Entertainment
Animated 'Demon Slayer' strikes chord with pandemic Japan,"The terrifying plight depicted in the swashbuckling animated film, ""Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,"" has struck a chord with pandemic-era Japan, and possibly with the world.",42021.0,animated demon slayer strike chord pandemic japan terrifying plight depicted swashbuckling animated film demon slayer kimetsu yaiba movie mugen train struck chord pandemic era japan possibly world.,Entertainment
Palace to investigate after Meghan accused of bullying staff,Buckingham Palace said Wednesday it was launching an investigation after a newspaper reported that a former aide had made a bullying allegation against the Duchess of Sussex.,42021.0,palace investigate meghan accused bullying staff buckingham palace said wednesday launching investigation newspaper reported former aide made bullying allegation duchess sussex.,Entertainment
Pandemic Golden Globes ratings plunge 64% to 6.9M viewers,"The pandemic-era Golden Globes sunk to 6.9 million viewers, down a whopping 64% from 2020 and only barely beating the year when a writer's strike forced NBC to show a news conference announcing the winners.",32021.0,pandemic golden globe rating plunge .m viewer pandemic era golden globe sunk . million viewer whopping barely beating year writer strike forced nbc show news conference announcing winners.,Entertainment
Publisher to appeal ruling that it invaded Meghan's privacy,A British newspaper publisher said Tuesday it plans to appeal against a judge’s ruling that it invaded the privacy of the Duchess of Sussex by publishing parts of a letter she wrote to her estranged father after her 2018 marriage to Prince Harry.,22021.0,publisher appeal ruling invaded meghan privacy british newspaper publisher said tuesday plan appeal judge ruling invaded privacy duchess sussex publishing part letter wrote estranged father marriage prince harry.,Entertainment
"With much respect, Cynthia Erivo takes on Queen of Soul",The Tony Awards could bring Cynthia Erivo another Emmy.,22021.0,much respect cynthia erivo take queen soul tony award could bring cynthia erivo another emmy.,Entertainment
Prince Harry: Split from royal life 'unbelievably tough',"Prince Harry says the process of separating from royal life has been very difficult for him and his wife, Meghan.",12021.0,prince harry split royal life unbelievably tough prince harry say process separating royal life difficult wife meghan.,Entertainment
"The glam was back at the Golden Globes, albeit at a distance","Glam was back for the Golden Globes virtual, bicoastal awards night Sunday as nominees Zoomed in from around the world and, for Leslie Odom Jr., from his front porch in Los Angeles not far from the action in Beverly Hills.",12021.0,glam back golden globe albeit distance glam back golden globe virtual bicoastal award night sunday nominee zoomed around world leslie odom jr. front porch los angeles far action beverly hills.,Entertainment
Globes org says it will recruit Black members after outcry,The organization hosting the Golden Globes says it is developing a plan to recruit Black members after falling under sharp criticism for lacking diverse members.,272021.0,globe org say recruit black member outcry organization hosting golden globe say developing plan recruit black member falling sharp criticism lacking diverse members.,Entertainment
"Lady Gaga's dogs recovered safely after theft, shooting","LOS ANGELES, FEBRUARY 27Lady Gaga's two French bulldogs, which were stolen by thieves who shot and wounded the dog walker, were recovered unharmed Friday, Los Angeles...",272021.0,lady gaga dog recovered safely theft shooting los angeles february lady gaga two french bulldog stolen thief shot wounded dog walker recovered unharmed friday los angeles...,Entertainment
